Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0195,-7132204.4321,-8749829.7595,-4404803.7179,-2876080.0522,234938629.2096,158703514.5655,376605600.5797,227707732.9500,244898122.7828,263289019.7832,257894266.4729,211113933.5022,362022980.2731,336716920.2320,111610384.4947,59897702.1483,99281569.9177,106283621.1988,52907194.3633,55966762.6893,-30541761.6683,-1393901.0174,-26773832.5379,-430630.8664,-2221949.5405,-937260.8381,52496505.4884,36460601.3523
0.0215,-6299798.2690,-8254150.4662,-4026175.5804,-2454278.6873,210150030.4954,145384186.1720,344921028.5334,208950005.9872,214891028.8072,242547506.5300,241818502.3502,188390911.4148,309427994.2973,304637300.0128,86423953.8386,28812209.0519,85720362.2773,97663237.7142,50210346.8104,54501141.4495,-28976040.2844,-1155646.2053,-24612751.8632,-278624.8935,-2151905.8114,-1096059.6454,49264474.5160,33847854.7507
0.0234,-5463844.0189,-7652751.0702,-3620464.2307,-1911652.9278,184226291.1219,132709023.0189,312600474.3321,189264127.5144,186294737.3217,221249479.3605,224788323.4213,166415307.2217,263384767.2453,275758529.0118,67862739.1862,-530843.8060,73195082.2341,89379672.1280,46851011.6275,53068960.4976,-27204512.3062,-835438.1845,-22287690.7913,-64973.6039,-1868742.5930,-1021231.6860,45688672.2407,30821053.3782
0.0254,-4613011.8626,-6940835.2947,-3164364.0654,-1264085.3949,160015376.1254,119638831.5580,280754594.4863,170610345.7485,159314534.1678,200026063.9097,206818209.3354,145448420.9573,222501358.9994,250104874.2328,54544851.8516,-26157743.4722,61506973.0610,81257515.3828,43068298.1791,51022838.3409,-25210676.5108,-543470.8567,-19975368.1988,92320.2831,-1652698.3494,-667040.9613,41664987.1980,27633621.0020
0.0273,-3765662.3743,-6129125.5057,-2662780.6442,-630636.4062,138951791.7544,104418432.9913,248826528.6310,152431301.8812,133347734.1861,178629734.8752,187433268.6830,125025344.9491,182449099.3368,223166030.9782,41812693.1783,-46133646.2338,50045850.2028,72492676.9520,39133823.9417,47693432.9670,-23101110.2522,-335347.3664,-17877024.7337,145593.9143,-1670428.7421,-78227.7178,37141159.2563,24318813.8303
0.0293,-2949487.5033,-5256369.5492,-2137298.2185,-128801.2265,120528868.3875,85486607.0946,216754167.3965,133084302.7680,107645217.2457,156567970.8961,166457753.9837,105175391.5624,141233817.6362,191603302.3180,26854679.2334,-58567246.0974,38456356.0446,62535132.8815,35164248.2703,42788300.8581,-20989875.9484,-211230.8140,-16052820.4249,127679.7975,-1858970.5750,680816.9600,32311691.2961,20704376.1130
0.0312,-2210001.5548,-4316929.5989,-1622857.4757,182336.6124,103962329.6813,63284956.1760,183920089.3455,111586311.4060,82027956.1558,133487861.1714,143309739.1106,86712113.2658,103353700.2457,155433813.2352,12496951.3136,-60649533.2239,27354246.0314,51617368.5714,30772110.1919,36415068.3906,-18756582.0435,-137487.8227,-14267208.2822,99610.3766,-2082985.4981,1445607.0292,27301442.2582,16711627.1242
0.0332,-1526315.3123,-3313338.5677,-1116727.2055,396946.0831,87360450.1768,38856376.1517,150886655.1402,87929439.7970,57826045.1061,108963407.4796,119099420.4722,70080610.1892,72852121.3638,118558151.9182,2816588.6234,-53657896.6594,17654769.8493,40454576.4934,25974687.4877,29113699.9941,-15997290.7563,-94187.1698,-12063768.7505,97256.0698,-2133404.3359,2187416.1684,22289076.1506,12409970.5378
0.0352,-876310.4815,-2231075.6538,-628116.3113,591869.2548,67862646.4741,14935410.3987,115419160.1890,62470171.0696,36291941.7839,81285573.6608,92384379.0307,53616586.4531,49448436.3809,82795310.7083,-80954.1534,-41083291.0576,10001994.6097,29110754.1848,20373662.1025,21209476.2665,-12142455.1375,-73794.8839,-8969204.7575,105979.0248,-1898032.2129,2744371.0846,16924536.6005,8054131.7261
0.0371,-301633.8103,-1091801.8903,-195824.5292,622702.0199,40976956.0189,-1753475.4630,69560882.5283,34188140.5165,17728456.1410,46825407.5513,57420348.6614,32638353.1440,27140691.8783,45372682.3245,118137.9747,-24763179.6122,4336197.8388,16395355.6636,12882070.0572,12166214.0927,-6773365.3682,-53105.7133,-4829002.6824,78360.2696,-1281742.6447,2449705.4782,10099030.6087,3889807.7998
0.0391,-27502.4138,-12022.8066,-10468.5451,-7446.4169,873793.5081,715812.5366,1012264.5919,345505.6563,1319889.6013,540973.2738,461775.5358,651140.2315,2061518.0618,884476.1251,555692.9989,381727.0871,636062.9009,283594.3691,89164.4936,221481.4815,-27714.0509,876.9639,-40344.7100,816.3572,-58202.1167,-70673.1084,105799.6377,19829.7655
0.0410,-30260.0555,-14129.3394,-11803.6161,-8263.7109,961283.5105,780181.0444,1129890.4648,402021.4746,1435457.2651,614919.4706,531080.8945,722697.9066,2238418.9245,988958.7126,606838.7658,410316.4948,688869.6543,317011.9575,102910.3207,243496.2398,-34476.8514,776.8927,-47077.4206,846.2009,-61734.2334,-74579.3761,120314.0628,26757.9829
0.0430,-33017.6973,-16235.8723,-13138.6871,-9081.0048,1048773.5129,844549.5521,1247516.3378,458537.2928,1551024.9290,688865.6673,600386.2531,794255.5816,2415319.7871,1093441.3001,657984.5328,438905.9025,741676.4077,350429.5458,116656.1477,265510.9981,-41239.6519,676.8215,-53810.1312,876.0446,-65266.3502,-78485.6439,134828.4878,33686.2002
