Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-0.5406,-0.0399,-4.4486,-5.5889,-66.2615,76.1628,48.7748,98.7983,-252.9327,-60.8764,-271.4827,-341.2980,4268.9252,3689.0520,4566.7817,3694.8686,295.7549,313.5652,-490.3167,-428.3123,27.6179,-4.7841,29.9179,2.6001,-12.3650,-13.1383,22.1187,20.7888
0.0020,-0.5583,-0.0358,-4.4519,-5.5612,-65.7636,76.3331,49.6617,98.8536,-251.2920,-60.8467,-270.2305,-341.9452,4270.6960,3688.9416,4566.5772,3693.7547,296.4519,313.5408,-489.8961,-428.3994,27.3929,-4.8152,29.7192,2.6157,-12.2792,-13.0901,22.3250,20.7721
0.0039,-0.6103,0.0824,-4.5171,-5.4607,-64.0678,76.2724,51.2396,99.4167,-249.9899,-57.4416,-276.2487,-344.9242,4273.8283,3684.8244,4571.4284,3690.5874,297.1751,314.1467,-492.2331,-428.8881,26.6686,-4.8260,29.0924,2.5936,-12.0773,-12.8958,22.0859,20.6180
0.0059,-0.7224,0.2508,-4.6298,-5.3058,-59.7270,76.3095,56.6940,100.4865,-249.4751,-52.8761,-279.0615,-348.7427,4280.1330,3678.5645,4579.1887,3685.7325,298.1238,314.8970,-493.9793,-429.5093,25.2282,-4.8936,27.5271,2.5100,-12.5388,-12.8465,22.7532,20.4052
0.0078,-0.7856,0.3075,-4.6425,-5.1922,-59.2456,76.1669,58.8826,100.4985,-241.7619,-51.0161,-276.0155,-351.3403,4285.1713,3676.9715,4579.3882,3682.2042,301.0427,315.2532,-493.0109,-429.9716,24.7709,-4.8917,26.8686,2.5491,-11.9475,-12.7713,22.9960,20.2005
0.0098,-0.8318,0.3432,-4.6426,-5.1026,-59.2969,75.9550,59.0356,100.4136,-237.7271,-48.1369,-276.6859,-351.9494,4288.9136,3676.5350,4578.7949,3679.1522,302.5433,316.0761,-493.2244,-429.8404,24.6618,-4.8599,26.6007,2.5851,-11.4956,-12.7027,22.7527,20.0153
0.0117,-0.8908,0.4353,-4.6934,-4.9992,-57.9834,75.7719,61.6636,100.7317,-231.5359,-46.7592,-275.2557,-355.9888,4293.2243,3673.1045,4582.0315,3676.0970,305.0215,316.1238,-492.9454,-430.7042,23.9959,-4.8768,25.9316,2.5976,-11.1594,-12.5808,23.1312,19.8677
0.0137,-0.9647,0.5717,-4.7824,-4.8794,-55.5560,75.5909,64.7047,101.3774,-228.5139,-44.1764,-277.4460,-360.4522,4297.8848,3667.9174,4588.1050,3672.4673,306.5553,316.3835,-494.1395,-431.5643,23.0971,-4.8991,25.0994,2.5918,-11.1520,-12.4356,23.4745,19.7068
0.0156,-0.9656,0.6245,-4.8454,-4.9029,-53.4901,75.5255,66.2586,101.7834,-233.0982,-44.8880,-279.3962,-361.7174,4296.7225,3665.0389,4593.1289,3673.4593,305.1780,315.9101,-495.1703,-431.9577,22.6661,-4.9279,24.8430,2.5334,-11.8834,-12.4611,23.8685,19.7848
0.0176,-0.9704,0.6699,-4.8956,-4.9156,-51.8383,75.4577,68.2212,102.0039,-234.7818,-46.0591,-278.7596,-363.4249,4296.1059,3662.5109,4597.0851,3674.2402,304.7912,315.3112,-495.2500,-432.5098,22.2298,-4.9564,24.5166,2.4890,-12.3629,-12.4824,24.3931,19.8450
0.0195,-0.9467,0.6584,-4.8923,-4.9531,-51.8770,75.2059,66.7804,101.7441,-238.9499,-46.2072,-281.8235,-362.0377,4294.0413,3662.9587,4597.0478,3675.5045,303.1757,315.3504,-496.3057,-432.1828,22.4703,-4.9212,24.7675,2.4947,-12.6267,-12.5332,24.0464,19.8657
0.0215,-0.9299,0.6765,-4.9251,-4.9952,-50.8066,74.9787,66.1901,101.8872,-245.9502,-46.2644,-286.1553,-361.2615,4291.7915,3661.8722,4599.7070,3676.9318,300.7614,315.2771,-498.0181,-432.0309,22.4681,-4.9149,24.8614,2.4610,-13.3165,-12.5945,23.9234,19.9209
0.0234,-0.9585,0.6969,-4.9579,-4.9797,-49.1731,74.9892,67.9612,102.0989,-248.6105,-46.2311,-284.5681,-361.3413,4293.1343,3660.8423,4601.4142,3676.3230,300.1647,315.1821,-497.7699,-432.0200,22.1187,-4.9516,24.4746,2.4351,-13.8892,-12.6646,24.5232,19.9392
0.0254,-0.9379,0.6444,-4.9204,-5.0101,-50.3337,74.7784,65.6791,101.6605,-250.9624,-46.2921,-285.0790,-358.7703,4291.9243,3663.2364,4598.3388,3677.0552,299.1479,315.4071,-497.7632,-431.3669,22.6627,-4.9054,24.9340,2.4698,-13.9148,-12.7318,24.1669,19.9453
0.0273,-0.9241,0.6028,-4.8986,-5.0399,-50.8794,74.6568,64.4188,101.4295,-253.2946,-46.8216,-284.4343,-356.9015,4291.0225,3664.9727,4596.3579,3677.8410,298.2645,315.4161,-497.4513,-430.9476,23.0087,-4.8863,25.2341,2.4820,-14.0951,-12.8097,24.1146,19.9892
0.0293,-0.9171,0.5239,-4.8441,-5.0576,-52.0699,74.6050,62.6976,100.9763,-253.9868,-47.1186,-281.6194,-353.9037,4291.2898,3668.5967,4591.4614,3677.9621,297.9227,315.6715,-496.2448,-430.1745,23.5448,-4.8591,25.6171,2.5291,-14.0957,-12.9080,24.0704,20.0150
0.0312,-0.9291,0.4803,-4.8369,-5.0711,-50.9713,74.7177,62.6782,101.1022,-259.1570,-46.9543,-280.3681,-351.1745,4292.1359,3670.5095,4589.7892,3677.7927,296.3432,315.9253,-495.9172,-429.3944,23.5828,-4.8873,25.5848,2.5206,-14.8219,-13.0447,24.4099,20.0894
0.0332,-0.8882,0.4282,-4.8228,-5.1516,-51.2916,74.7462,61.7026,101.0348,-262.5780,-49.4886,-278.7855,-349.8199,4289.1731,3672.0252,4588.8121,3680.3732,295.0515,315.2909,-495.2850,-429.2942,23.8805,-4.8959,25.9918,2.4993,-15.1934,-13.1170,24.5562,20.2568
0.0352,-0.8222,0.3596,-4.7979,-5.2664,-52.2705,74.7943,60.1698,100.7795,-265.5434,-53.1562,-276.6643,-348.5028,4284.5041,3673.8833,4587.5219,3684.2175,293.7592,314.3482,-494.3675,-429.3137,24.3410,-4.8962,26.6227,2.4768,-15.4601,-13.1855,24.6143,20.4733
0.0371,-0.8394,0.2710,-4.7663,-5.2867,-51.3675,75.2700,61.1744,100.6157,-268.6359,-54.3337,-269.6933,-345.2512,4286.3340,3677.3679,4583.6575,3684.0237,292.9924,314.3360,-492.0229,-428.3914,24.3786,-4.9551,26.5256,2.4887,-16.1742,-13.3746,25.4816,20.6062
0.0391,-0.7764,0.1796,-4.7330,-5.4086,-52.0296,75.5139,60.4345,100.2503,-271.9085,-58.7762,-265.2970,-343.4546,4282.0729,3680.0286,4581.4690,3687.9326,291.6758,313.2467,-490.2978,-428.2781,24.7552,-4.9815,27.0419,2.4668,-16.5720,-13.4868,25.8482,20.8663
0.0410,-0.7568,0.1737,-4.7290,-5.4315,-52.9441,75.5642,59.8826,100.0688,-270.8217,-60.1134,-264.6286,-344.3752,4280.8763,3680.0724,4581.4860,3688.8356,291.9732,312.8278,-489.9181,-428.6108,24.9322,-4.9723,27.3144,2.4746,-16.3452,-13.4349,25.8154,20.9257
0.0430,-0.7315,0.0662,-4.6640,-5.4892,-54.2802,75.9111,59.9602,99.4117,-268.3347,-63.4369,-255.7801,-342.5667,4279.9685,3684.0549,4576.2475,3690.5322,292.7330,312.1876,-486.5282,-428.3385,25.3291,-4.9962,27.5806,2.4909,-16.2739,-13.5657,26.3867,21.0608
0.0449,-0.7291,-0.0260,-4.6066,-5.5148,-55.2998,76.2174,60.8492,98.8544,-264.3191,-66.1282,-245.7539,-341.3458,4280.8442,3687.4585,4571.3948,3691.1395,294.1794,311.6811,-482.8242,-428.1402,25.5811,-5.0214,27.6308,2.5178,-16.1706,-13.7039,27.1279,21.1360
0.0469,-0.8138,0.0555,-4.6472,-5.3730,-54.1309,76.3587,63.7363,99.1936,-257.4937,-63.9305,-243.5602,-345.0556,4287.5750,3684.8600,4573.1598,3686.4060,297.0890,312.0543,-482.2093,-428.7078,24.8883,-5.0498,26.8798,2.5689,-15.7279,-13.5563,27.6227,20.9614
0.0488,-0.8387,0.0176,-4.6514,-5.3724,-52.3285,76.8293,66.4716,99.3313,-257.9589,-65.9662,-236.7868,-344.7289,4289.8690,3685.8936,4572.1418,3685.9252,297.3380,311.5374,-479.9597,-428.5589,24.4469,-5.1374,26.4612,2.5741,-16.2839,-13.6432,28.6932,21.0779
0.0508,-0.8426,-0.1538,-4.5595,-5.3993,-52.6023,77.4660,66.0996,98.7222,-259.1105,-68.3508,-227.4722,-339.5860,4292.4701,3693.0607,4562.8565,3685.3890,297.0716,311.5226,-476.3466,-427.0465,24.8025,-5.2034,26.7361,2.6783,-16.6044,-13.7665,29.4537,21.2468
0.0527,-0.7986,-0.2031,-4.5161,-5.4551,-54.8548,77.1315,64.5986,98.3301,-256.2181,-70.6122,-224.9179,-339.3881,4289.9097,3694.5337,4560.5977,3687.6757,297.6805,310.9517,-475.2134,-427.3051,25.3622,-5.1527,27.2631,2.7245,-16.1181,-13.7758,29.2506,21.2760
0.0547,-0.8015,-0.1592,-4.5249,-5.4307,-55.6664,76.6542,64.3790,98.4477,-253.3802,-69.5910,-226.8384,-340.8999,4289.7828,3692.7594,4562.1407,3687.4703,298.4922,311.0648,-475.9586,-427.7751,25.4240,-5.1013,27.2381,2.7397,-15.6796,-13.7270,28.9055,21.1548
0.0566,-0.7630,-0.0630,-4.5801,-5.4657,-55.9631,75.9836,63.7977,98.9045,-254.1506,-69.5107,-233.8646,-343.9812,4285.3425,3688.1115,4568.4701,3689.8348,297.8833,310.6444,-478.6232,-428.8835,25.3906,-5.0435,27.3430,2.6787,-15.5391,-13.6620,28.2387,21.1000
0.0586,-0.7967,0.0690,-4.6495,-5.4024,-55.5203,75.5477,67.6276,99.3854,-245.2611,-69.6819,-230.8133,-350.3269,4286.4355,3682.0559,4574.9587,3689.2545,301.1024,309.9304,-478.0282,-430.8011,24.7262,-5.0334,26.5812,2.6363,-15.0112,-13.6048,28.7773,20.9436
0.0605,-0.7686,-0.0137,-4.5972,-5.4526,-56.6169,75.5491,65.3745,98.9514,-248.8000,-69.9023,-230.7409,-346.5005,4284.8470,3685.6357,4570.8493,3690.4505,299.6432,310.2706,-477.8388,-429.8125,25.3179,-5.0041,27.0823,2.6705,-15.2263,-13.7206,28.5051,20.9969
0.0625,-0.8021,0.0001,-4.6014,-5.4098,-55.8582,75.4876,65.2706,99.0760,-252.2721,-66.8301,-234.0551,-344.6477,4286.8093,3685.9196,4570.7547,3688.7515,298.5853,311.2777,-479.1817,-429.1010,25.2715,-4.9857,26.8404,2.6702,-15.5583,-13.7975,28.3428,20.8963
0.0645,-0.8552,0.0888,-4.6372,-5.3098,-55.2072,75.2057,66.2747,99.3633,-249.3568,-63.5838,-237.2612,-346.9265,4290.3494,3683.1410,4573.3425,3685.7786,299.8017,311.9790,-480.4939,-429.4564,24.9068,-4.9477,26.3378,2.6950,-15.2457,-13.7221,28.1561,20.6829
0.0664,-0.7977,-0.0052,-4.5855,-5.4029,-56.5312,75.3575,63.5980,98.8669,-253.4083,-65.9552,-237.4447,-343.9610,4286.9381,3686.7166,4569.6016,3688.4274,298.0816,311.6226,-480.1741,-428.8275,25.5339,-4.9269,27.0757,2.7259,-15.3803,-13.7682,27.8842,20.8353
0.0684,-0.7551,-0.0691,-4.5420,-5.4623,-57.8580,75.4428,61.0568,98.4204,-255.8180,-67.0627,-238.8430,-341.7359,4284.4642,3689.3569,4566.5685,3690.1038,296.9324,311.5636,-480.3279,-428.3133,26.0861,-4.8925,27.6756,2.7593,-15.3179,-13.7917,27.4394,20.8982
0.0703,-0.7655,-0.1994,-4.4684,-5.4672,-58.0973,76.1026,59.5304,97.9169,-259.1052,-67.1775,-235.2428,-336.6363,4286.9709,3695.4085,4558.8442,3688.7780,295.8841,312.1614,-478.7538,-426.6797,26.4956,-4.9349,28.0012,2.8419,-15.6253,-13.8826,27.6695,20.9838
0.0723,-0.8225,-0.2160,-4.4541,-5.3808,-57.9581,76.6373,59.8248,97.9414,-257.5263,-65.2124,-233.7365,-335.8160,4292.3323,3697.1534,4555.9044,3684.9376,296.7963,312.9153,-478.1390,-426.0565,26.3878,-4.9735,27.8894,2.9108,-15.4410,-13.7730,27.9918,20.9449
0.0742,-0.7914,-0.2188,-4.4551,-5.4231,-58.5588,76.6474,58.2370,98.0242,-260.3954,-65.3404,-237.5159,-335.2889,4289.7735,3697.1707,4556.6397,3686.3743,295.6209,312.9204,-479.3898,-426.0054,26.6420,-4.9580,28.2643,2.8843,-15.4882,-13.7512,27.5749,20.9925
0.0762,-0.7007,-0.2445,-4.4418,-5.5515,-60.3648,76.4073,54.5156,97.8624,-266.2888,-66.7994,-244.2203,-333.9102,4282.4131,3697.5765,4557.7374,3691.0410,293.0039,312.5949,-481.5603,-426.0029,27.3840,-4.8963,29.1606,2.8290,-15.5869,-13.7922,26.5938,21.0906
0.0781,-0.7622,-0.2241,-4.4472,-5.4480,-60.0905,76.9251,55.7185,97.9708,-262.0741,-65.0508,-242.4355,-335.2403,4287.8451,3697.6867,4556.5968,3687.0307,294.8764,313.0971,-480.9237,-425.9718,27.0397,-4.9464,28.8397,2.8805,-15.1614,-13.6147,26.9533,21.0190
0.0801,-0.7432,-0.2028,-4.4711,-5.4861,-59.9349,77.0005,55.9872,98.1964,-264.3784,-65.7350,-244.0225,-336.0123,4285.5641,3696.1614,4559.3504,3688.5837,294.0736,312.7522,-481.6209,-426.3164,27.0060,-4.9567,28.8626,2.8239,-15.3874,-13.6360,26.9619,21.0656
