Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-1.0806,-0.1677,-4.5036,-5.0391,-44.8903,77.5852,68.1495,99.4335,-247.2805,-44.6736,-224.3855,-325.7423,4309.4788,3698.8228,4554.8096,3669.1223,301.9381,319.8843,-475.2345,-420.6289,23.0276,-5.2266,24.4760,2.3888,-17.1447,-13.8672,28.3265,20.7101
0.0020,-1.0607,-0.2363,-4.4510,-5.0687,-46.4027,77.4884,67.2759,99.0321,-243.6505,-46.1997,-219.0196,-324.6337,4308.9543,3701.3547,4550.9851,3670.0830,302.9746,319.6556,-473.1336,-420.4513,23.4902,-5.1994,24.7919,2.4314,-16.8449,-13.9539,28.4031,20.7254
0.0039,-1.0077,-0.3382,-4.4207,-5.1975,-45.8454,77.6786,67.2380,98.9582,-249.5124,-49.6837,-214.2399,-321.1777,4304.7508,3704.2373,4548.9873,3674.0943,300.8074,318.9344,-471.4805,-419.8681,23.7684,-5.2467,25.0482,2.3660,-17.7959,-14.2281,28.9302,20.9545
0.0059,-0.9999,-0.3199,-4.4279,-5.1976,-45.8109,77.5844,66.4412,99.0809,-250.2455,-48.7398,-217.4763,-321.1742,4303.9630,3703.6238,4549.8867,3674.1287,300.4460,319.1824,-472.5708,-419.8116,23.7901,-5.2322,25.1237,2.3499,-17.7269,-14.1935,28.5329,20.9251
0.0078,-0.9835,-0.3102,-4.4371,-5.2222,-45.7028,77.5295,66.2446,99.2202,-250.6709,-48.8324,-218.3172,-321.3435,4302.3214,3702.8833,4551.2170,3675.0890,300.2054,319.1068,-472.8902,-419.9251,23.7942,-5.2315,25.1934,2.3085,-17.7981,-14.2044,28.4135,20.9486
0.0098,-0.9445,-0.3921,-4.3534,-5.2488,-49.3540,77.4921,64.1987,98.3937,-241.1526,-51.1481,-211.4987,-321.3398,4301.2373,3706.1636,4545.4130,3676.1153,303.0413,318.6730,-469.9408,-420.1327,24.5340,-5.1831,25.8924,2.3848,-16.6154,-14.1248,28.2082,20.9606
0.0117,-0.9780,-0.4300,-4.3148,-5.2004,-50.0049,77.6639,64.4269,98.2471,-237.7161,-49.7344,-207.2167,-319.8951,4304.3032,3708.3165,4541.7355,3674.0813,304.3190,319.3082,-468.3913,-419.5869,24.6785,-5.1907,25.7948,2.4152,-16.3759,-14.1596,28.4332,20.8918
0.0137,-1.0122,-0.3632,-4.3342,-5.1289,-50.3744,77.3755,65.3186,98.5247,-232.4788,-47.6480,-207.4277,-322.3380,4306.4223,3705.9127,4543.6494,3672.2177,306.1947,319.6904,-468.6243,-420.1547,24.5342,-5.1603,25.4704,2.4182,-15.8848,-14.1065,28.3159,20.7108
0.0156,-1.0291,-0.2928,-4.3740,-5.0998,-50.6464,77.2108,68.1374,98.8394,-224.9564,-49.1612,-202.4106,-327.2848,4307.1909,3702.2221,4547.5677,3672.2260,308.9732,318.8071,-467.1103,-421.6928,24.1784,-5.1679,25.0935,2.4035,-15.4426,-14.0437,28.9577,20.6616
0.0176,-1.0649,-0.2896,-4.3805,-5.0590,-50.1796,77.3488,69.3515,98.9742,-224.4522,-48.2912,-200.0836,-327.2885,4309.9613,3702.2729,4547.4753,3670.6156,309.4590,319.0858,-466.4507,-421.5250,24.0297,-5.1859,24.8517,2.4299,-15.5905,-14.0641,29.3647,20.6316
