Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-0.8337,0.3953,-4.8665,-5.3486,-47.5046,74.7489,73.3706,100.7266,-259.2089,-64.5776,-254.9245,-354.5807,4281.7482,3669.4175,4592.9867,3689.9410,296.1500,310.2561,-487.4642,-432.0238,22.4891,-5.0874,24.3608,2.3203,-16.4149,-13.6049,28.2723,20.7300
0.0020,-0.7985,0.2223,-4.7462,-5.3933,-50.4211,75.1006,70.4212,99.6047,-255.2823,-67.5494,-246.4189,-350.5940,4281.9972,3676.8994,4582.3401,3690.4215,297.2422,310.0650,-483.7562,-431.0015,23.3499,-5.0823,25.2156,2.4425,-15.8334,-13.6016,28.3078,20.8702
0.0039,-0.7664,0.1369,-4.6738,-5.4276,-52.8108,75.0123,67.4578,98.9503,-254.3100,-68.1019,-244.9952,-347.8555,4280.8343,3680.8175,4576.7763,3691.2772,297.2527,310.2943,-482.8462,-430.3541,24.1008,-5.0257,25.8610,2.5052,-15.4273,-13.6389,27.8328,20.8829
0.0059,-0.7336,0.1582,-4.7004,-5.4772,-52.5916,75.0425,66.2153,99.2325,-259.8975,-68.2341,-250.9154,-347.6363,4277.6348,3679.8039,4579.3917,3692.9548,295.2521,310.1850,-484.9002,-430.3974,24.1253,-5.0215,26.1415,2.4446,-15.7441,-13.5827,27.4559,20.9926
0.0078,-0.7155,0.1252,-4.6751,-5.5064,-53.8611,75.0371,66.4439,98.9794,-255.4529,-70.5977,-244.8176,-348.5187,4276.8147,3680.5580,4577.7977,3694.2353,296.7282,309.5223,-482.7070,-430.8657,24.3554,-5.0079,26.2794,2.4599,-15.4462,-13.6586,27.7643,21.0220
0.0098,-0.7159,0.0390,-4.6200,-5.5032,-54.6473,75.4702,64.8747,98.6055,-255.3884,-70.9308,-242.0767,-345.9460,4278.5064,3684.6654,4572.0864,3693.1905,296.7834,309.8431,-481.4386,-429.9637,24.7018,-5.0209,26.6150,2.5391,-15.3349,-13.6727,27.7261,21.0720
0.0117,-0.5939,-0.1476,-4.5274,-5.7217,-57.0557,75.7630,60.8009,97.8897,-263.5588,-75.9395,-239.1867,-339.9612,4270.0358,3691.0331,4566.1042,3699.9701,293.3633,309.0229,-479.9936,-428.9073,25.9305,-5.0087,27.9009,2.5054,-15.9751,-13.9503,27.4864,21.4030
0.0137,-0.5543,-0.3105,-4.4307,-5.8036,-59.0160,76.3123,58.7716,97.1977,-264.7692,-78.5443,-232.1970,-335.3284,4268.7336,3697.5282,4558.1271,3701.7600,292.7837,308.8899,-477.1336,-427.7975,26.7281,-5.0306,28.5987,2.5430,-16.0822,-14.1030,27.7254,21.5750
0.0156,-0.5889,-0.3586,-4.4115,-5.7622,-58.4672,76.9193,59.0186,97.2837,-265.8036,-78.0342,-229.7655,-333.8297,4272.6181,3699.9989,4554.8345,3699.2920,292.7891,309.2842,-476.2030,-427.0685,26.6551,-5.0986,28.5632,2.5991,-16.2514,-14.0619,28.1330,21.6247
0.0176,-0.5633,-0.3880,-4.3753,-5.7786,-60.2690,76.8869,56.6161,97.0612,-265.5218,-77.5627,-232.2231,-332.8094,4271.4104,3701.4696,4552.6432,3699.7083,292.6010,309.5682,-476.7867,-426.7853,27.1816,-5.0548,29.0643,2.6355,-15.8281,-14.0308,27.4689,21.5977
0.0195,-0.5664,-0.3832,-4.3747,-5.7691,-60.3942,76.9984,56.3470,97.1796,-266.0391,-76.8281,-233.9802,-332.7607,4271.8085,3701.4148,4552.7504,3699.2818,292.4177,309.7819,-477.3922,-426.7057,27.2170,-5.0563,29.0945,2.6435,-15.7487,-14.0203,27.3019,21.5797
0.0215,-0.6250,-0.3498,-4.3976,-5.6935,-59.0155,77.3327,59.5666,97.5140,-262.5647,-75.9732,-230.0564,-334.4583,4276.2517,3700.2133,4553.7616,3696.6771,294.0477,309.8775,-476.2770,-426.9947,26.6205,-5.1138,28.4048,2.6475,-15.7247,-14.0103,28.0764,21.5279
0.0234,-0.6870,-0.3530,-4.3830,-5.6021,-58.5664,77.5554,60.7723,97.5552,-259.8413,-73.3994,-227.7500,-333.8463,4281.5703,3701.2327,4551.5240,3693.0859,295.2869,310.7414,-475.5596,-426.4838,26.4332,-5.1291,27.9884,2.7005,-15.5434,-14.0150,28.3514,21.3983
0.0254,-0.7305,-0.2938,-4.4310,-5.5458,-56.4128,77.6655,62.5072,98.1646,-262.0563,-71.0553,-230.7279,-334.6424,4284.2131,3699.0717,4554.7499,3690.9638,294.8505,311.2603,-476.9281,-426.4199,25.8678,-5.1670,27.4499,2.6713,-15.9304,-13.9863,28.5218,21.3368
0.0273,-0.7431,-0.2282,-4.4756,-5.5207,-55.5972,77.6147,63.4562,98.5531,-261.9299,-70.2520,-233.6488,-336.9247,4284.6058,3696.2112,4558.6405,3690.3313,294.9956,311.2123,-478.1382,-426.9533,25.5347,-5.1767,27.2393,2.6483,-15.9235,-13.8872,28.5013,21.2978
0.0293,-0.7886,-0.1627,-4.5162,-5.4502,-54.1909,77.6421,65.0521,98.9025,-261.4973,-67.9949,-235.7002,-338.4458,4287.5368,3693.8297,4561.4807,3687.8864,295.4180,311.6661,-479.1062,-427.0867,25.0689,-5.1949,26.7605,2.6462,-16.0042,-13.8190,28.6219,21.1938
0.0312,-0.7936,-0.1022,-4.5491,-5.4254,-53.6820,77.4107,64.2411,99.0886,-264.2054,-65.7077,-242.9804,-339.0897,4287.3419,3691.6548,4564.5334,3687.0891,294.4376,312.1957,-481.7296,-427.0698,24.9804,-5.1651,26.7534,2.6440,-16.0456,-13.7301,28.0045,21.1035
0.0332,-0.8205,-0.0536,-4.5622,-5.3617,-53.3244,77.2080,63.3975,99.1156,-265.4075,-62.2666,-249.5682,-338.9367,4289.1577,3690.6204,4565.4690,3684.8250,294.0208,313.1921,-484.0378,-426.7149,24.9051,-5.1283,26.6271,2.6735,-15.9067,-13.6414,27.3623,20.9439
0.0352,-0.8104,0.0621,-4.6375,-5.3562,-52.5984,76.8210,63.2198,99.6146,-267.8908,-61.0607,-258.7017,-342.2340,4287.1067,3685.6604,4572.5529,3685.3261,293.1284,313.1196,-487.4224,-427.6146,24.6068,-5.1010,26.6017,2.6287,-15.9355,-13.4720,26.8230,20.8937
0.0371,-0.8105,0.1498,-4.6693,-5.3175,-53.6515,76.4702,63.1948,99.6184,-262.2639,-60.4523,-261.9645,-346.2511,4286.7643,3682.1623,4576.1605,3684.8910,294.9445,312.9404,-488.5244,-428.7410,24.4891,-5.0488,26.6084,2.6386,-15.1292,-13.2606,26.4204,20.7740
0.0391,-0.8276,0.2437,-4.7025,-5.2536,-54.4378,76.1165,62.9830,99.7114,-257.4941,-58.3952,-266.4304,-349.5779,4287.5989,3678.7630,4579.5249,3683.4491,296.5256,313.2258,-490.1264,-429.5424,24.3561,-4.9864,26.5202,2.6570,-14.4016,-13.0744,25.8995,20.5946
0.0410,-0.7776,0.2313,-4.6877,-5.3093,-56.2960,75.9338,60.8373,99.4341,-256.5719,-59.8677,-268.3688,-349.9711,4284.0370,3678.8871,4579.4630,3685.6831,296.4566,312.8091,-490.5865,-429.8679,24.7894,-4.9354,27.1115,2.6686,-14.0087,-12.9980,25.3836,20.6270
0.0430,-0.7612,0.1983,-4.6934,-5.3692,-55.4595,76.0232,61.5329,99.5955,-260.6211,-61.6370,-265.8370,-348.6780,4282.2255,3679.3476,4579.9289,3687.6776,295.1201,312.3754,-489.9439,-429.7179,24.7753,-4.9695,27.0825,2.6302,-14.7470,-13.1586,25.8546,20.7268
