Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-0.5080,0.1327,-4.5760,-5.6407,-67.6024,74.3212,49.5591,99.0486,-252.7087,-66.2821,-271.9683,-350.6931,4265.2681,3679.7013,4578.9468,3699.4805,295.9687,310.7573,-491.3174,-431.8529,27.8518,-4.6261,30.2729,2.7086,-12.3198,-13.1027,22.6126,20.7624
0.0020,-0.5893,0.1477,-4.5936,-5.5369,-64.8029,74.7476,52.2980,99.3625,-253.3568,-63.8119,-269.9923,-350.0800,4271.5529,3679.9472,4577.9850,3695.2231,296.2966,311.5198,-490.9115,-431.2301,27.1544,-4.7043,29.4058,2.7295,-12.7529,-13.1553,23.2455,20.6744
0.0039,-0.6570,0.1499,-4.6198,-5.4792,-61.2686,75.2179,55.0334,99.7876,-259.1061,-61.4993,-269.2630,-347.8541,4276.0368,3680.3666,4578.0868,3692.3704,294.8893,312.2962,-491.0673,-430.2670,26.4871,-4.7905,28.5603,2.6932,-13.7887,-13.3229,23.9458,20.6483
0.0059,-0.6866,0.1305,-4.6450,-5.4781,-57.8969,75.8031,55.9638,100.1705,-269.4603,-59.8026,-272.6172,-344.2990,4277.7173,3681.6160,4578.4014,3691.0984,291.7385,313.0102,-492.4495,-428.9867,26.0168,-4.8822,28.1743,2.6264,-15.0577,-13.4264,24.2635,20.7462
0.0078,-0.7517,0.2133,-4.6784,-5.3474,-56.9448,75.9501,56.5361,100.3252,-266.0797,-56.0070,-277.3912,-346.4141,4282.9699,3679.7467,4579.8598,3686.3853,293.1990,313.9522,-494.0491,-429.0424,25.4950,-4.8862,27.7529,2.6563,-14.5114,-13.1683,23.9447,20.5722
0.0098,-0.7838,0.2013,-4.6644,-5.2812,-56.7462,76.2865,56.0841,100.0881,-263.8176,-54.8913,-277.6928,-346.2741,4286.7567,3681.2760,4577.2538,3683.3969,294.1166,314.4281,-493.8648,-428.6245,25.3737,-4.9127,27.7657,2.7247,-14.1632,-12.9878,23.8917,20.5436
0.0117,-0.7774,0.1902,-4.6172,-5.2458,-59.1723,76.1162,54.7413,99.3772,-254.7075,-55.1249,-275.8002,-347.7100,4287.5523,3682.3529,4573.9528,3682.5606,296.8904,314.4145,-492.7505,-429.0138,25.7254,-4.8539,28.0330,2.7999,-12.9622,-12.8448,23.4337,20.4155
0.0137,-0.8017,0.2735,-4.6403,-5.1731,-59.7199,75.8380,54.8799,99.3664,-248.9929,-53.0575,-278.9009,-350.7392,4289.0473,3679.5574,4576.2372,3680.7039,298.7839,314.7608,-493.8221,-429.7035,25.5634,-4.8043,27.8294,2.8089,-12.2352,-12.6870,23.0171,20.2220
0.0156,-0.9080,0.2997,-4.6586,-5.0280,-57.8128,76.3544,60.0828,99.5082,-239.2773,-53.0001,-267.3812,-353.7914,4297.8650,3678.8611,4575.0205,3675.5026,302.9132,314.6608,-490.0753,-430.1745,24.6256,-4.9095,26.7312,2.8673,-12.0025,-12.6241,24.5974,20.1223
0.0176,-0.9493,0.2883,-4.6459,-4.9739,-57.6402,76.5460,61.8365,99.3660,-235.1955,-52.9177,-261.6616,-354.0300,4301.3215,3679.6250,4573.0092,3673.5030,304.6080,314.7591,-488.1554,-430.1243,24.4116,-4.9382,26.3451,2.8947,-11.8488,-12.6412,25.2270,20.0634
