Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-0.7848,-0.0140,-4.5209,-5.3640,-56.0349,77.0772,67.9722,98.4592,-243.2021,-69.1382,-236.7584,-347.5314,4286.2584,3687.5816,4564.3847,3687.6159,300.9991,310.6835,-479.2411,-429.8682,24.4017,-5.1663,25.7234,2.5936,-13.7301,-13.6351,28.0317,20.7720
0.0020,-0.7719,0.0358,-4.5676,-5.3775,-54.9966,77.0487,66.8650,98.8503,-249.3354,-67.9265,-245.1215,-347.7606,4284.6661,3685.5296,4568.3153,3687.9238,298.8711,310.9119,-482.2936,-429.8030,24.2765,-5.1612,25.8813,2.5783,-14.1104,-13.5337,27.5293,20.7927
0.0039,-0.7016,0.0444,-4.5971,-5.4983,-54.6375,76.7891,64.8663,99.0585,-259.3395,-68.8042,-252.9973,-346.3053,4277.9952,3684.1887,4572.5160,3692.2739,295.0801,310.6018,-485.2266,-429.7185,24.5655,-5.1289,26.3706,2.5003,-14.9047,-13.6297,26.9448,20.9128
0.0059,-0.7792,0.1909,-4.6839,-5.3680,-52.4566,76.5586,66.8164,99.8049,-259.1793,-63.9386,-259.3855,-349.3944,4282.5549,3679.0237,4578.8840,3688.2314,295.5863,311.5823,-487.9899,-430.1372,23.8251,-5.1196,25.6018,2.4975,-14.9668,-13.5045,26.8445,20.6793
0.0078,-0.7858,0.2527,-4.6962,-5.3188,-53.3920,76.1396,64.7266,99.8094,-258.6561,-60.6957,-267.0285,-350.1235,4282.8595,3677.3886,4580.5288,3686.8601,295.5774,312.3946,-490.6094,-430.1534,24.0239,-5.0318,25.8000,2.5390,-14.4343,-13.3641,25.8648,20.5089
0.0098,-0.7333,0.2338,-4.7021,-5.4144,-53.2391,76.0376,63.1064,99.8773,-266.4601,-61.5399,-271.8494,-348.0159,4278.0151,3677.6145,4582.1489,3690.1072,292.6221,312.1809,-492.3144,-429.8430,24.3033,-5.0122,26.2099,2.4816,-15.0575,-13.4477,25.5232,20.6425
0.0117,-0.7715,0.3431,-4.7591,-5.3393,-52.1122,75.7444,63.5587,100.3786,-267.5159,-57.7715,-279.3010,-349.8166,4279.6628,3673.9011,4586.8879,3687.9676,292.3897,312.9389,-495.1798,-430.1220,23.9136,-4.9736,25.8076,2.4618,-15.0245,-13.3511,25.0816,20.4754
0.0137,-0.7433,0.3003,-4.7501,-5.4037,-51.9249,75.9367,63.9260,100.3111,-269.5832,-60.3711,-276.3823,-348.9880,4277.4942,3675.0012,4586.2811,3690.0632,291.6361,312.2182,-494.1164,-430.1612,23.9493,-5.0088,25.9409,2.4316,-15.3682,-13.4110,25.5108,20.6380
0.0156,-0.7701,0.3255,-4.7819,-5.3832,-50.5513,76.0195,65.5354,100.6514,-271.2909,-60.1536,-275.4353,-349.5661,4279.0289,3673.8041,4588.1885,3689.2630,291.3594,312.1454,-494.0517,-430.2741,23.6061,-5.0466,25.6138,2.4139,-15.7955,-13.4336,26.0122,20.6620
0.0176,-0.7436,0.3033,-4.7661,-5.4164,-51.6959,75.8019,63.3637,100.4919,-273.2417,-60.1717,-277.5359,-348.5031,4277.2944,3674.6951,4587.3258,3690.2512,290.5003,312.2359,-494.6631,-430.0428,24.0639,-5.0076,26.1181,2.4332,-15.7663,-13.4298,25.5639,20.6869
