Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-0.8146,0.2297,-4.7530,-5.3373,-51.3325,76.0894,65.4596,100.5237,-265.9367,-60.0979,-264.3149,-347.2481,4284.0663,3678.4651,4582.5462,3686.7775,293.6901,312.6390,-489.8777,-429.2181,23.7732,-5.0979,25.9925,2.4741,-15.8268,-13.3201,26.4755,20.8477
0.0020,-0.7524,0.1355,-4.7170,-5.4706,-51.0104,76.1068,64.5679,100.2817,-273.5153,-62.7881,-262.8900,-343.0154,4278.8271,3681.3280,4580.4104,3691.0402,290.7743,312.1576,-489.3715,-428.4644,24.1315,-5.1123,26.2810,2.4056,-16.7225,-13.5929,26.5487,21.0327
0.0039,-0.7264,0.0966,-4.7016,-5.5278,-50.5925,76.1433,64.2389,100.1613,-277.8402,-63.6578,-263.2397,-340.7584,4276.5265,3682.6901,4579.4842,3692.8276,289.1859,312.0577,-489.4685,-428.0343,24.2032,-5.1245,26.3312,2.3567,-17.1769,-13.7024,26.5479,21.1201
0.0059,-0.7503,0.1767,-4.7401,-5.4693,-49.7494,75.9195,64.7746,100.3965,-276.5427,-61.6298,-267.6429,-342.8545,4277.8812,3679.9661,4582.5070,3691.1987,289.7467,312.4058,-491.0924,-428.4517,23.7880,-5.1085,25.9686,2.3418,-16.9434,-13.5817,26.2124,21.0045
0.0078,-0.7986,0.3000,-4.7892,-5.3510,-49.0323,75.5927,65.1251,100.6880,-272.6638,-57.7615,-274.4202,-346.2818,4281.1880,3676.0812,4586.1347,3687.6756,291.2115,313.1821,-493.5349,-429.0150,23.2913,-5.0618,25.4881,2.3643,-16.3107,-13.3788,25.5656,20.7612
0.0098,-0.8166,0.2651,-4.7914,-5.3564,-47.1175,76.0128,66.5570,100.7876,-275.9815,-58.3967,-271.4561,-344.6516,4282.6296,3677.4134,4585.0181,3687.2283,290.3527,313.1391,-492.6079,-428.4657,22.9724,-5.1276,25.1781,2.3484,-16.9977,-13.4878,26.2059,20.8550
0.0117,-0.7979,0.0827,-4.6531,-5.3809,-50.1870,76.3682,63.9133,99.5660,-270.5272,-60.2505,-261.5903,-339.9232,4284.0361,3685.4802,4573.1696,3687.0254,291.9309,313.3409,-488.4717,-427.1717,23.9255,-5.1015,25.8800,2.4722,-16.3361,-13.5855,26.2581,20.8988
0.0137,-0.7965,0.0008,-4.6070,-5.4031,-50.8080,76.6368,63.8342,99.2782,-268.8446,-61.6188,-254.7778,-337.9995,4284.8315,3688.6264,4568.9752,3687.2431,292.5438,313.2394,-485.9622,-426.6974,24.2133,-5.1228,26.0572,2.4890,-16.4156,-13.6947,26.7473,20.9663
0.0156,-0.7604,-0.0375,-4.5871,-5.4521,-51.8666,76.7108,62.0432,99.1540,-269.2141,-62.9980,-254.8130,-337.4473,4282.7760,3689.8704,4567.7299,3688.6370,292.2288,312.9666,-485.7481,-426.6334,24.5891,-5.1159,26.6000,2.4932,-16.3353,-13.6564,26.5393,21.0544
0.0176,-0.8066,0.0274,-4.6582,-5.4136,-48.7086,76.9826,64.6854,99.9756,-274.0240,-61.4966,-256.4878,-338.3167,4284.9759,3687.0463,4572.3792,3687.0947,291.0963,313.1960,-486.8546,-426.6528,23.8642,-5.1926,25.9270,2.4206,-17.2521,-13.7073,27.1339,21.0587
