Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-0.8783,0.1492,-4.7073,-5.3353,-49.2683,75.5591,76.9621,99.3614,-248.8079,-69.3766,-230.2361,-350.6590,4289.6996,3678.8776,4579.0445,3687.7581,300.2308,309.7058,-478.5307,-430.8790,22.5752,-5.1460,24.0620,2.5487,-15.8135,-13.7707,30.2466,20.8951
0.0020,-0.9210,0.1595,-4.7034,-5.2532,-49.1254,75.6642,75.6494,99.3391,-249.4652,-65.8078,-234.1951,-349.3702,4293.5263,3679.8563,4577.3633,3684.1906,300.2007,310.9154,-479.7959,-430.0514,22.5720,-5.1303,24.0770,2.6067,-15.6323,-13.6455,29.7929,20.7924
0.0039,-0.9151,0.1105,-4.6950,-5.2901,-48.2086,75.9210,74.8347,99.3872,-256.8762,-65.4334,-235.7790,-345.9044,4292.8417,3682.0249,4575.9603,3684.6308,297.7439,311.3030,-480.3561,-429.0292,22.6854,-5.1584,24.2229,2.5780,-16.4028,-13.7511,29.8452,20.9032
0.0059,-0.8628,0.0732,-4.6861,-5.3739,-48.8213,75.9791,72.3281,99.3009,-263.2790,-66.4220,-240.1487,-343.8486,4288.8548,3683.3246,4575.8287,3687.0963,295.3202,311.1706,-481.6749,-428.5921,23.1051,-5.1422,24.8786,2.5508,-16.7514,-13.7459,29.4117,21.0590
0.0078,-0.7930,0.0526,-4.6666,-5.4559,-50.6838,75.7631,68.1641,99.0291,-267.7896,-66.5414,-247.8341,-342.2706,4283.5992,3684.2369,4575.6640,3689.8954,293.2461,311.2682,-484.0017,-428.2999,23.8041,-5.0649,25.7807,2.5402,-16.6037,-13.6914,28.2755,21.1241
0.0098,-0.7770,0.0303,-4.6699,-5.5005,-50.4714,75.9704,68.7384,99.0460,-269.0941,-68.6425,-245.1311,-342.3968,4282.3557,3684.4440,4575.9972,3691.3733,292.8558,310.6505,-483.1137,-428.4887,23.8160,-5.0904,25.8569,2.5251,-16.9090,-13.7564,28.7312,21.2367
0.0117,-0.7723,-0.0933,-4.6080,-5.5334,-50.8707,76.5975,67.8405,98.6333,-271.4963,-70.2711,-239.7176,-338.4868,4283.4960,3689.5866,4569.6851,3691.2697,292.1245,310.6672,-480.9608,-427.3378,24.1783,-5.1375,26.2300,2.5870,-17.2191,-13.8265,29.2165,21.4008
0.0137,-0.6785,-0.2054,-4.5673,-5.7108,-51.6362,76.6525,65.5774,98.3625,-279.7372,-74.3693,-238.7331,-334.6330,4276.3230,3692.7061,4567.7153,3697.0449,288.8569,309.8050,-480.5182,-426.7845,24.8972,-5.1388,27.0001,2.5377,-18.0451,-14.0836,29.1458,21.6523
0.0156,-0.6457,-0.1906,-4.5768,-5.7492,-52.5280,76.5881,64.5536,98.4070,-280.0687,-75.2503,-241.0534,-335.7043,4273.6808,3691.6941,4569.4133,3698.6780,288.5628,309.4429,-481.2796,-427.2396,25.0964,-5.1195,27.3325,2.5203,-17.8799,-14.0334,28.8387,21.6881
0.0176,-0.6029,-0.2133,-4.5441,-5.7874,-55.1138,76.4502,62.1915,98.0264,-277.2443,-76.2350,-241.6827,-336.0758,4271.0724,3692.5022,4568.0098,3700.2758,289.1558,309.2083,-481.2004,-427.5285,25.7051,-5.0620,27.9832,2.5503,-17.2252,-13.9702,28.2877,21.6864
0.0195,-0.5881,-0.1479,-4.6073,-5.8173,-53.8378,76.4072,62.2231,98.6510,-283.3998,-75.7556,-248.2517,-337.2603,4268.6258,3689.3057,4573.6163,3701.5818,287.0913,309.0884,-483.8011,-427.9010,25.4991,-5.0758,27.9750,2.4811,-17.8177,-13.9637,28.0959,21.7250
0.0215,-0.5846,-0.1081,-4.6397,-5.8220,-52.9313,76.4037,62.0849,98.9866,-287.3884,-74.7133,-253.1909,-337.4453,4267.5608,3687.6483,4576.4359,3701.8591,285.7295,309.2680,-485.6902,-427.9130,25.3605,-5.0776,27.9061,2.4467,-18.1555,-13.9649,27.8399,21.7125
0.0234,-0.5831,-0.1393,-4.5916,-5.7992,-54.5855,76.3897,60.7829,98.5632,-283.3176,-74.0132,-252.1339,-336.6628,4268.3237,3689.5315,4572.8029,3701.0659,286.9208,309.6192,-485.0402,-427.6653,25.7201,-5.0361,28.1163,2.5021,-17.5192,-13.9371,27.4729,21.6305
0.0254,-0.6042,-0.1369,-4.5752,-5.7544,-54.9215,76.4507,61.5334,98.5088,-278.5439,-73.4720,-249.5497,-337.3524,4270.3041,3689.8129,4571.2907,3699.6571,288.5879,309.7414,-484.0564,-427.8129,25.6193,-5.0403,27.9013,2.5210,-17.0769,-13.9003,27.5796,21.5668
0.0273,-0.5968,-0.1706,-4.5230,-5.7361,-56.8167,76.3294,59.8562,98.1332,-274.0487,-72.8377,-248.9280,-336.6107,4270.7290,3691.8158,4567.4183,3699.0250,289.8424,310.0763,-483.5003,-427.6124,26.0303,-4.9943,28.1821,2.5734,-16.3434,-13.8545,27.0814,21.4844
0.0293,-0.6451,-0.1239,-4.5596,-5.6740,-55.0173,76.4173,61.5099,98.7274,-275.6174,-70.5925,-250.3677,-337.0220,4273.7782,3690.2572,4569.4269,3696.7220,289.6441,310.5955,-484.3147,-427.5114,25.5678,-5.0333,27.6569,2.5522,-16.7130,-13.8636,27.3432,21.4125
0.0312,-0.6737,-0.0837,-4.5853,-5.6300,-54.1378,76.4179,62.1921,99.1377,-276.1941,-68.8480,-252.3209,-337.5950,4275.5799,3688.9104,4571.0678,3695.1570,289.6321,310.9867,-485.1805,-427.5212,25.3176,-5.0456,27.3911,2.5416,-16.8333,-13.8407,27.3501,21.3429
0.0332,-0.7328,-0.0452,-4.6061,-5.5435,-52.8967,76.5134,63.5928,99.4985,-275.4968,-66.0794,-252.5185,-337.8652,4279.8867,3688.0666,4571.6332,3691.9492,290.2366,311.7423,-485.4823,-427.2890,24.9459,-5.0669,26.8904,2.5514,-16.9299,-13.8329,27.5594,21.2219
0.0352,-0.7941,-0.0296,-4.5950,-5.4400,-52.9407,76.6010,64.9872,99.4845,-269.0320,-63.9539,-248.5313,-338.7330,4285.1655,3688.3479,4569.7591,3688.2574,292.7574,312.3745,-484.1094,-427.2406,24.7193,-5.0722,26.4646,2.5966,-16.4356,-13.7793,27.8531,21.0741
0.0371,-0.8041,0.0047,-4.6046,-5.4054,-53.0363,76.4536,64.6477,99.5591,-267.3463,-62.6177,-250.8525,-339.7777,4286.0150,3687.3999,4570.6085,3687.1807,293.3309,312.6965,-484.8830,-427.3911,24.6517,-5.0521,26.4192,2.6012,-16.1522,-13.6944,27.5201,20.9971
0.0391,-0.8013,0.0185,-4.5868,-5.3748,-54.3808,76.2814,63.2228,99.2917,-263.2854,-61.5190,-252.7287,-340.6588,4286.3959,3687.4506,4569.5847,3686.3123,294.5265,313.0409,-485.2849,-427.5190,24.8721,-5.0041,26.6228,2.6354,-15.4692,-13.5810,26.9237,20.8915
0.0410,-0.7528,-0.0044,-4.5736,-5.4353,-55.4357,76.2461,61.3451,99.0237,-263.9490,-63.2365,-254.3881,-340.7503,4283.1792,3687.9684,4569.2875,3688.4145,293.9938,312.6204,-485.6136,-427.6665,25.2257,-4.9861,27.1540,2.6402,-15.3452,-13.5366,26.5085,20.9630
0.0430,-0.7070,0.0102,-4.5908,-5.4919,-55.9151,76.3589,60.9086,98.9416,-263.4200,-65.8661,-255.7596,-342.8841,4279.7394,3686.6269,4571.4510,3690.7068,293.9772,311.7187,-485.9245,-428.4389,25.2221,-4.9999,27.4724,2.6170,-15.1854,-13.4158,26.4000,21.0774
0.0449,-0.7620,-0.0106,-4.5465,-5.3810,-56.9580,76.6380,60.2992,98.4709,-257.5603,-63.1345,-254.1656,-342.1656,4285.3280,3688.9817,4566.4464,3686.3324,296.1301,312.7926,-485.0852,-427.7742,25.3177,-4.9868,27.4018,2.7332,-14.4289,-13.2894,26.2319,20.9074
