Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-0.8163,0.0468,-4.5560,-5.3322,-58.5923,76.1309,69.8076,98.5090,-242.1854,-70.6291,-232.6989,-351.2692,4287.2435,3684.3925,4568.0083,3687.9023,301.5461,309.8134,-478.3630,-431.1573,24.8609,-5.0743,25.9390,2.7688,-13.5460,-13.5980,29.1513,20.7295
0.0020,-0.8004,0.1144,-4.6313,-5.3781,-56.3874,75.9543,69.2646,99.2648,-254.2576,-68.7905,-243.4583,-350.4162,4284.0107,3681.2092,4574.6235,3689.4126,297.4491,310.1510,-482.5665,-430.9058,24.6405,-5.0764,25.9355,2.6786,-14.6627,-13.6341,28.7157,20.7922
0.0039,-0.7520,0.1792,-4.7020,-5.4689,-54.8814,75.6676,67.7012,99.8814,-267.6995,-67.6371,-256.2360,-349.3529,4278.0090,3677.9489,4581.8202,3692.7159,292.6605,310.2784,-487.3730,-430.7768,24.6424,-5.0505,26.1913,2.5580,-15.7498,-13.6842,27.9650,20.8869
0.0059,-0.7280,0.2304,-4.7535,-5.5138,-53.8866,75.5063,66.5172,100.2575,-276.6246,-66.4812,-265.3776,-348.8999,4274.8627,3675.6368,4586.7830,3694.2836,289.5582,310.4594,-490.7773,-430.6827,24.6263,-5.0287,26.3859,2.4978,-16.4261,-13.6722,27.4512,20.9410
0.0078,-0.7643,0.3507,-4.7907,-5.4011,-54.6864,75.0780,65.1171,100.3647,-273.0560,-61.8459,-274.7076,-351.9098,4277.3591,3672.1128,4590.0709,3690.9596,290.7461,311.4906,-493.9840,-431.1364,24.5515,-4.9361,26.3453,2.5500,-15.5221,-13.4046,26.3789,20.6783
0.0098,-0.6963,0.2248,-4.7254,-5.5251,-55.5492,75.2502,62.5235,99.7935,-279.8255,-64.4702,-273.8805,-347.1026,4272.7504,3676.8165,4585.1552,3694.5622,288.0063,311.1976,-493.3832,-430.0977,25.2489,-4.9382,27.0333,2.5447,-16.0800,-13.5977,26.1959,20.8697
0.0117,-0.6452,0.1915,-4.7036,-5.5788,-56.5839,75.2625,58.9813,99.5816,-284.2769,-64.6974,-280.1982,-345.3930,4269.4798,3678.4008,4583.5705,3695.9702,286.0936,311.3125,-495.2171,-429.6322,25.7251,-4.9187,27.7699,2.5601,-16.0208,-13.4989,25.3132,20.9547
0.0137,-0.5884,0.1609,-4.6903,-5.6509,-57.2962,75.3710,56.1679,99.5106,-288.6973,-65.4679,-285.2766,-343.8220,4265.3526,3679.5056,4582.9797,3698.0599,284.2261,311.2106,-496.6886,-429.3021,26.0675,-4.9188,28.4334,2.5310,-16.1041,-13.4103,24.6471,21.0971
0.0156,-0.5817,0.1820,-4.7100,-5.6693,-56.6664,75.3509,56.5608,99.7859,-290.6943,-65.3096,-286.4696,-343.9052,4263.9768,3678.2696,4584.9342,3698.8614,283.5432,311.1586,-497.3015,-429.4336,25.9453,-4.9310,28.3100,2.4723,-16.4231,-13.4703,24.6546,21.1076
0.0176,-0.6064,0.1837,-4.7145,-5.6418,-55.9833,75.5284,57.6919,99.9595,-289.9311,-64.9056,-284.1099,-343.8466,4265.8818,3678.2539,4584.7342,3697.7259,284.0537,311.2784,-496.6247,-429.3569,25.7123,-4.9583,28.0289,2.4664,-16.5627,-13.4932,25.0104,21.0944
0.0195,-0.6078,0.2278,-4.7629,-5.6552,-54.4779,75.6060,59.4695,100.4538,-291.4130,-65.8338,-284.1775,-345.5728,4265.2718,3675.8278,4588.7513,3698.4639,283.7819,310.7594,-496.9350,-429.9403,25.2307,-4.9954,27.7064,2.4078,-16.9609,-13.4836,25.3930,21.1595
0.0215,-0.6369,0.2343,-4.7756,-5.6292,-53.5826,75.7704,61.3373,100.6210,-290.3415,-66.0731,-280.6718,-346.1594,4267.5588,3675.4842,4589.3591,3697.5804,284.4764,310.6226,-495.9043,-430.0772,24.9103,-5.0208,27.3310,2.4123,-17.1264,-13.5111,25.9500,21.1595
0.0234,-0.6386,0.1802,-4.7267,-5.6222,-54.9568,75.7851,60.7443,100.1684,-286.5682,-66.6403,-276.3658,-345.1840,4268.9087,3677.9948,4585.5281,3697.2473,285.7187,310.6422,-494.1641,-429.8323,25.2229,-4.9874,27.4967,2.4779,-16.6843,-13.5269,25.9642,21.1346
0.0254,-0.6390,0.1508,-4.7039,-5.6242,-55.5798,75.7954,60.9493,99.9618,-284.0146,-67.6863,-272.8059,-345.1812,4269.6442,3679.1202,4583.7872,3697.3617,286.5845,310.3759,-492.7855,-429.8930,25.3340,-4.9779,27.5381,2.5098,-16.4521,-13.5429,26.1409,21.1475
0.0273,-0.6489,0.1484,-4.7100,-5.6200,-54.9011,75.8257,61.6415,100.0801,-284.4651,-67.7965,-271.7622,-345.0824,4270.4270,3679.1316,4583.9646,3697.1490,286.5150,310.3240,-492.4439,-429.8239,25.2097,-4.9932,27.3975,2.5029,-16.6342,-13.5834,26.3264,21.1679
0.0293,-0.6637,0.1683,-4.7370,-5.6129,-53.4873,75.8693,62.8781,100.3889,-286.2682,-67.7404,-271.9200,-345.4623,4271.1629,3678.1444,4585.6370,3696.8717,286.0542,310.2438,-492.6464,-429.8662,24.9113,-5.0256,27.1259,2.4736,-17.0218,-13.6322,26.6060,21.1952
0.0312,-0.6913,0.1713,-4.7424,-5.5813,-52.9139,75.9546,64.3192,100.4541,-283.8599,-67.8198,-268.3799,-346.1620,4273.4407,3678.0510,4585.3668,3695.7564,287.0803,310.1892,-491.4934,-429.9820,24.7128,-5.0536,26.8640,2.4777,-17.0433,-13.6672,27.0839,21.1815
0.0332,-0.6977,0.1301,-4.6984,-5.5618,-54.6144,75.9267,64.3449,99.9400,-276.4028,-69.0607,-261.7326,-346.8436,4275.1782,3679.8324,4581.6999,3695.1944,289.5830,309.9326,-488.9643,-430.2277,24.9866,-5.0364,27.0048,2.5403,-16.3515,-13.6589,27.3606,21.1383
