Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-0.9466,0.0121,-4.5171,-5.0985,-60.9404,76.7388,58.2465,98.7636,-250.2947,-52.4878,-251.9532,-341.6376,4300.6062,3690.5279,4562.2219,3675.3540,299.5962,316.3189,-484.7612,-426.4956,26.4376,-4.9113,27.6513,2.9396,-13.4178,-13.2160,26.0732,20.2675
0.0020,-0.9430,0.1065,-4.5529,-5.0502,-61.8328,76.3890,57.1531,98.9458,-246.8141,-51.0078,-259.1890,-345.3229,4300.2160,3687.1804,4565.7343,3674.4228,300.6080,316.4096,-487.1306,-427.3713,26.3242,-4.8650,27.7734,2.9610,-12.5847,-12.9337,25.2542,20.1638
0.0039,-0.9693,0.1721,-4.5850,-4.9993,-61.3089,76.3420,59.4722,99.2060,-241.7944,-50.7461,-257.8350,-348.4318,4301.5052,3684.4880,4568.3766,3673.3712,302.4283,316.1528,-486.7635,-428.1992,25.8192,-4.8836,27.2781,2.9403,-12.2135,-12.8389,25.5615,20.1164
0.0059,-0.8981,0.0977,-4.5724,-5.1545,-61.1883,76.4653,60.6831,99.1279,-245.5422,-56.3109,-251.6152,-347.2982,4295.2715,3685.5828,4568.5954,3679.0208,300.8853,314.5510,-484.6466,-428.5256,25.9467,-4.9377,27.4697,2.8484,-12.9386,-13.0597,26.3495,20.4135
0.0078,-0.7893,0.0706,-4.5764,-5.3363,-62.1467,76.0825,58.9968,99.0782,-252.6686,-60.4559,-254.7864,-346.5766,4285.7249,3684.8731,4571.5586,3685.9995,297.8264,313.2525,-485.7616,-429.0180,26.4568,-4.9069,28.1408,2.7519,-13.4776,-13.2087,26.0069,20.6323
0.0098,-0.7145,0.0939,-4.5985,-5.4434,-62.8030,75.6277,56.5399,99.1983,-259.3904,-61.1379,-263.2537,-346.1698,4278.7736,3683.1471,4575.4436,3690.2453,295.0082,312.9285,-488.7306,-429.2445,26.8316,-4.8500,28.7033,2.6767,-13.7713,-13.2301,25.1104,20.7141
0.0117,-0.7589,0.1821,-4.6357,-5.3502,-62.4484,75.3860,58.3434,99.4714,-252.6323,-59.5453,-263.2368,-349.9332,4281.9262,3679.8688,4578.2390,3687.7409,297.4936,313.0379,-488.8878,-430.1091,26.3495,-4.8395,28.1909,2.7020,-13.1727,-13.0884,25.1594,20.5518
0.0137,-0.7333,0.1060,-4.6027,-5.4212,-62.1551,75.4521,58.1091,99.3339,-257.3163,-60.8547,-260.8724,-346.3912,4279.7531,3682.4980,4575.7819,3689.8344,295.7519,312.9236,-488.0931,-429.3475,26.5782,-4.8546,28.2888,2.6725,-13.8156,-13.3019,25.3820,20.6595
0.0156,-0.6604,0.1894,-4.6458,-5.5007,-63.0198,74.7244,56.3377,99.5964,-259.1568,-61.4906,-269.9138,-348.9379,4272.7085,3678.2791,4581.9994,3693.8592,294.5544,312.3277,-491.2796,-430.4621,26.7335,-4.7698,28.6369,2.5848,-13.6064,-13.2479,24.3204,20.6409
0.0176,-0.6764,0.2426,-4.7009,-5.4950,-60.4517,74.8320,58.8080,100.1696,-261.4970,-61.4647,-270.6878,-350.1271,4272.7891,3675.7181,4586.0830,3693.8787,294.0112,312.0929,-491.8811,-430.7936,26.0235,-4.8274,28.0417,2.5062,-14.2089,-13.2771,24.7496,20.6817
0.0195,-0.6876,0.2502,-4.7098,-5.4855,-59.3829,74.8862,59.8618,100.2917,-261.7628,-61.3030,-269.9298,-349.9690,4273.4076,3675.4427,4586.5209,3693.5995,294.0262,312.1068,-491.7108,-430.7385,25.7364,-4.8435,27.7397,2.4880,-14.4188,-13.3155,24.9390,20.6817
0.0215,-0.6989,0.2531,-4.7149,-5.4761,-58.7349,74.9036,60.7678,100.3644,-261.2053,-61.3359,-268.1774,-350.0096,4274.2192,3675.2991,4586.6981,3693.3247,294.3299,312.0591,-491.1783,-430.7562,25.5507,-4.8517,27.5299,2.4829,-14.5449,-13.3470,25.1906,20.6841
0.0234,-0.7678,0.2820,-4.7477,-5.4025,-56.1181,75.1390,64.4526,100.7911,-260.1426,-60.1985,-263.3077,-350.5305,4279.0028,3674.3007,4587.8069,3690.6396,295.2597,312.2681,-489.8619,-430.6881,24.7882,-4.9192,26.6436,2.4611,-15.0178,-13.4136,26.1635,20.6582
0.0254,-0.7678,0.2664,-4.7359,-5.4024,-56.0972,75.0146,63.7319,100.7075,-261.2067,-59.5802,-263.8034,-349.3050,4279.2170,3675.2147,4586.6517,3690.4665,294.8412,312.5341,-489.9930,-430.2988,24.9082,-4.8993,26.7226,2.4737,-15.0888,-13.4456,26.0028,20.6541
0.0273,-0.7842,0.2739,-4.7476,-5.3875,-55.1073,75.0130,64.4382,100.8312,-262.3847,-59.1019,-263.4922,-349.0338,4280.2880,3675.0592,4587.0191,3689.8572,294.5566,312.6444,-489.9880,-430.1512,24.7196,-4.9147,26.5190,2.4637,-15.3477,-13.4803,26.2039,20.6640
0.0293,-0.7885,0.3077,-4.7905,-5.3968,-53.1063,74.9864,65.0489,101.2151,-267.7513,-58.5153,-266.9236,-348.8806,4279.7361,3673.5578,4590.0102,3690.0852,292.8367,312.6996,-491.4173,-430.0410,24.3904,-4.9427,26.3042,2.4103,-16.0350,-13.5231,26.2711,20.7132
0.0312,-0.7769,0.2544,-4.7426,-5.4030,-54.1570,74.9383,63.2570,100.6828,-266.8840,-58.3426,-266.2220,-346.8656,4279.7738,3676.2448,4586.0166,3689.9583,292.9190,313.0124,-490.8742,-429.4422,24.8045,-4.9049,26.6357,2.4582,-15.7990,-13.5532,25.9521,20.6942
0.0332,-0.7530,0.2489,-4.7454,-5.4379,-54.1882,74.9134,62.5967,100.5887,-267.7745,-59.4056,-266.9490,-346.9974,4278.0118,3676.1951,4586.4360,3691.1605,292.5016,312.7000,-491.0294,-429.5737,24.8944,-4.9005,26.8536,2.4458,-15.8949,-13.5467,25.8788,20.7518
