Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-0.9631,-0.1584,-4.3927,-5.0796,-59.3832,78.0873,64.9492,97.6604,-234.0956,-60.2900,-227.6983,-341.8080,4304.7588,3697.2170,4549.1684,3674.1937,305.2505,314.4684,-475.5295,-426.6700,25.2713,-5.1584,26.3076,2.9307,-12.5654,-13.3215,28.1807,20.5016
0.0020,-0.9241,-0.0686,-4.4476,-5.1223,-59.5814,77.5890,64.4964,98.0943,-235.8813,-60.2179,-234.9058,-344.5346,4300.2065,3692.8257,4555.7036,3676.7622,304.3168,314.0676,-478.2490,-427.6614,25.2503,-5.1038,26.4232,2.8646,-12.5093,-13.2743,27.6051,20.4697
0.0039,-0.8804,0.0196,-4.4785,-5.1528,-61.5825,76.8934,63.9830,98.1518,-230.5831,-61.0554,-238.1115,-348.9813,4295.8176,3688.4094,4560.9952,3679.4777,305.6591,313.3306,-479.4329,-429.2659,25.4664,-5.0057,26.6545,2.8402,-11.7057,-13.1983,27.0286,20.3634
0.0059,-0.8921,0.0555,-4.5122,-5.1473,-60.5228,76.9384,64.3911,98.5611,-235.3139,-59.6571,-242.3729,-348.6424,4295.6681,3686.9970,4563.7672,3679.3186,304.1052,313.6191,-481.1772,-429.1084,25.2972,-5.0132,26.5077,2.8147,-12.1444,-13.2105,27.0464,20.3621
0.0078,-0.7513,0.0765,-4.5394,-5.3443,-62.4219,76.3277,60.1737,98.6634,-244.0041,-62.8774,-253.7643,-349.1151,4283.5174,3684.5033,4569.5301,3687.0481,300.2169,312.4275,-485.0360,-429.9230,26.0430,-4.9266,27.6829,2.7210,-12.3362,-13.1798,25.7795,20.5586
0.0098,-0.6469,0.1262,-4.5851,-5.4955,-63.1901,75.7086,56.9329,98.9886,-253.7211,-63.9729,-265.7843,-349.2987,4273.5621,3681.1832,4576.3195,3693.1347,296.2115,311.8321,-489.3646,-430.4893,26.5471,-4.8476,28.4717,2.6114,-12.8261,-13.2131,24.6256,20.6667
0.0117,-0.6488,0.2844,-4.6821,-5.4742,-62.4043,75.2013,57.3018,99.7831,-256.1890,-61.3673,-275.8722,-353.1981,4271.2575,3674.4891,4585.6313,3693.5466,295.3400,311.9696,-493.3497,-431.6156,26.1979,-4.7994,28.2484,2.5204,-12.8971,-13.1085,24.0331,20.5436
0.0137,-0.6439,0.3237,-4.7006,-5.4767,-62.8243,74.9566,56.3417,99.9672,-258.6305,-59.6016,-280.4159,-353.0965,4269.8070,3673.0067,4587.9085,3693.9275,294.4054,312.3677,-495.0903,-431.6398,26.3785,-4.7538,28.3712,2.4838,-12.9799,-13.1272,23.6041,20.4787
0.0156,-0.6340,0.3543,-4.7356,-5.4990,-62.1082,74.7742,55.1855,100.3791,-265.5115,-58.3619,-286.6589,-352.3778,4268.1861,3671.6907,4590.8440,3694.6328,292.0609,312.6616,-497.4922,-431.4390,26.4601,-4.7392,28.5403,2.4542,-13.5777,-13.1608,23.2500,20.4888
0.0176,-0.6173,0.3712,-4.7524,-5.5231,-62.3878,74.5808,54.1493,100.5401,-268.1377,-58.2843,-289.6735,-352.5587,4266.5639,3670.8385,4592.6398,3695.6228,291.1025,312.5950,-498.6132,-431.5956,26.6421,-4.7162,28.8053,2.4437,-13.7400,-13.1530,23.0070,20.5072
