Time,Dis_Dmp_LF,Dis_Dmp_LR,Dis_Dmp_RF,Dis_Dmp_RR,WFT_Fx_LF,WFT_Fx_LR,WFT_Fx_RF,WFT_Fx_RR,WFT_Fy_LF,WFT_Fy_LR,WFT_Fy_RF,WFT_Fy_RR,WFT_Fz_LF,WFT_Fz_LR,WFT_Fz_RF,WFT_Fz_RR,WFT_Mx_LF,WFT_Mx_LR,WFT_Mx_RF,WFT_Mx_RR,WFT_My_LF,WFT_My_LR,WFT_My_RF,WFT_My_RR,WFT_Mz_LF,WFT_Mz_LR,WFT_Mz_RF,WFT_Mz_RR
0.0000,-2.9385,16.3720,-4.7876,12.8699,-314.0290,62.1887,-163.3094,118.3946,989.1342,685.9774,-1276.3617,-971.1449,4158.7396,3176.1539,4362.4975,3083.9868,662.7874,488.1652,-783.1437,-550.9030,16.5785,-20.6835,7.8106,-17.1610,138.0752,28.3282,-110.4243,-15.0597
0.0020,-2.6890,15.6678,-4.6553,12.0371,-311.0843,57.6823,-162.6041,113.3181,929.3922,651.8647,-1234.0354,-942.9278,4149.1368,3189.8654,4359.3700,3101.4503,643.4486,478.8941,-769.2845,-543.9079,18.6495,-19.5694,10.4979,-16.0509,132.4196,26.6811,-106.5605,-13.8725
0.0039,-2.4666,14.9595,-4.5336,11.2222,-306.5634,54.1864,-160.7281,109.0086,870.5028,617.9606,-1192.3489,-913.9056,4142.5095,3204.5453,4357.7402,3118.8426,624.7468,469.9377,-756.1395,-536.8625,20.4477,-18.5076,12.8664,-14.9586,126.6593,24.9402,-102.5548,-12.6465
0.0059,-2.3081,14.2763,-4.4636,10.4489,-298.5225,51.7978,-154.8474,105.9953,810.4782,584.5199,-1148.7729,-884.9409,4140.8353,3219.1399,4359.7950,3135.7561,606.3691,461.3039,-743.0961,-530.0207,21.5489,-17.5511,14.4905,-13.9186,120.2125,23.0527,-97.5694,-11.3205
0.0078,-2.0904,13.6071,-4.4390,9.5630,-288.9407,50.0668,-148.5951,104.0384,745.6392,548.7664,-1110.3521,-856.5785,4133.9750,3233.2756,4366.9497,3158.3158,586.0671,452.1221,-732.0009,-524.0100,22.5971,-16.6191,16.4208,-12.9814,113.1809,21.1066,-92.6176,-9.7243
0.0098,-1.9305,12.8784,-4.3805,8.7309,-277.9094,49.5420,-138.8563,102.5960,685.7809,513.4825,-1063.6797,-826.9334,4131.9711,3251.3929,4369.6221,3179.8430,567.6201,443.5019,-717.9193,-517.7447,23.2953,-15.7485,17.7315,-12.0158,106.0115,19.0393,-86.4182,-8.0787
0.0117,-1.7680,12.1356,-4.3364,7.8675,-265.1520,49.9267,-127.7487,102.1285,623.8224,478.0751,-1017.2396,-796.7087,4129.4052,3270.4701,4373.1766,3203.2050,548.3772,434.9311,-703.8510,-511.4753,23.6012,-14.9224,18.7214,-11.1079,98.2317,16.9335,-79.7017,-6.3053
0.0137,-1.6408,11.4144,-4.3383,7.0191,-249.6412,51.2907,-115.0913,102.9892,556.9575,444.5517,-973.1319,-765.6006,4129.4123,3289.5069,4380.2760,3226.6398,527.8864,426.8952,-690.9640,-504.8372,23.1869,-14.1760,19.0026,-10.2781,89.5990,14.7947,-72.6267,-4.4795
0.0156,-1.5044,10.6741,-4.3286,6.1510,-235.6933,53.1734,-103.0519,104.1754,493.8948,409.3736,-925.8430,-735.4979,4131.0913,3310.1888,4388.9268,3252.4388,508.9889,418.3659,-677.1399,-498.7466,22.8383,-13.4308,19.3358,-9.4350,81.6032,12.7279,-65.6677,-2.6081
0.0176,-1.4517,9.9301,-4.3279,5.3692,-220.6688,55.7132,-88.2346,105.8025,434.4805,374.9826,-871.1221,-705.6544,4141.6154,3333.2256,4399.1631,3277.0810,492.3670,410.1779,-661.4209,-492.6817,21.9852,-12.7532,18.8878,-8.5567,73.8693,10.6008,-58.1220,-0.7740
